enrollment_id,student_id,course_id,center_id,enrollment_date,start_date,expected_end_date,actual_end_date,status,deposit_amount,payment_plan,admission_staff
ENR-001,STU-001,CRS-001,CEN-001,2026-01-10,2026-01-20,2026-07-14,NULL,active,175000.00,2_installments,"John Doe"
ENR-002,STU-002,CRS-002,CEN-002,2026-01-15,2026-01-25,2026-06-12,NULL,active,80000.00,3_installments,"Jane Smith"
ENR-003,STU-003,CRS-001,CEN-001,2026-02-01,2026-02-10,2026-08-04,NULL,dropped_out,50000.00,3_installments,"John Doe"
ENR-004,STU-004,CRS-004,CEN-003,2026-02-10,2026-02-15,2026-05-10,NULL,active,125000.00,2_installments,"Mary Johnson"
ENR-005,STU-005,CRS-003,CEN-002,2026-02-15,2026-02-20,2026-06-12,NULL,active,150000.00,2_installments,"Jane Smith"
ENR-006,STU-014,CRS-001,CEN-001,2026-03-04,2026-03-10,2026-08-25,2026-08-01,completed,156000.00,2_installments,"John Doe"
ENR-007,STU-023,CRS-001,CEN-001,2026-03-05,2026-03-17,2026-09-01,NULL,active,63000.00,monthly,"Jane Smith"
ENR-008,STU-013,CRS-002,CEN-003,2026-03-27,2026-04-01,2026-08-19,NULL,active,106000.00,monthly,"Mary Johnson"
ENR-009,STU-008,CRS-002,CEN-001,2025-11-28,2025-12-07,2026-04-26,NULL,active,228000.00,2_installments,"Peter Adeleke"
ENR-010,STU-003,CRS-004,CEN-001,2026-06-18,2026-07-01,2026-09-23,2026-08-01,dropped_out,74000.00,3_installments,"Blessing Osei"
ENR-011,STU-002,CRS-002,CEN-001,2025-11-20,2025-12-05,2026-04-24,NULL,active,84000.00,monthly,"John Doe"
ENR-012,STU-021,CRS-001,CEN-002,2025-08-05,2025-08-19,2026-02-03,NULL,active,203000.00,2_installments,"Jane Smith"
ENR-013,STU-019,CRS-002,CEN-002,2025-07-13,2025-07-28,2025-12-15,NULL,active,229000.00,2_installments,"Mary Johnson"
ENR-014,STU-009,CRS-001,CEN-001,2025-11-15,2025-11-23,2026-05-10,2026-05-13,completed,164000.00,2_installments,"Peter Adeleke"
ENR-015,STU-029,CRS-001,CEN-003,2026-01-02,2026-01-11,2026-06-28,NULL,active,173000.00,2_installments,"Blessing Osei"
ENR-016,STU-024,CRS-003,CEN-001,2025-11-27,2025-12-05,2026-03-27,2026-04-03,completed,107000.00,3_installments,"John Doe"
ENR-017,STU-005,CRS-001,CEN-001,2025-10-05,2025-10-13,2026-03-30,2025-11-11,dropped_out,350000.00,full_payment,"Jane Smith"
ENR-018,STU-021,CRS-001,CEN-002,2026-03-16,2026-03-24,2026-09-08,2026-08-02,completed,88000.00,3_installments,"Mary Johnson"
ENR-019,STU-030,CRS-002,CEN-003,2026-06-03,2026-06-09,2026-10-27,NULL,active,400000.00,full_payment,"Peter Adeleke"
ENR-020,STU-003,CRS-001,CEN-001,2026-03-24,2026-03-29,2026-09-13,2026-05-06,dropped_out,204000.00,2_installments,"Blessing Osei"
ENR-021,STU-022,CRS-002,CEN-002,2025-07-09,2025-07-23,2025-12-10,NULL,active,210000.00,2_installments,"John Doe"
ENR-022,STU-006,CRS-001,CEN-003,2026-05-17,2026-05-31,2026-11-15,2026-08-04,completed,196000.00,2_installments,"Jane Smith"
ENR-023,STU-023,CRS-001,CEN-001,2025-12-07,2025-12-13,2026-05-30,2026-06-02,completed,164000.00,2_installments,"Mary Johnson"
ENR-024,STU-017,CRS-003,CEN-001,2025-12-03,2025-12-18,2026-04-09,2026-01-12,dropped_out,69000.00,3_installments,"Peter Adeleke"
ENR-025,STU-014,CRS-003,CEN-003,2025-10-17,2025-10-31,2026-02-20,2026-02-24,completed,92000.00,3_installments,"Blessing Osei"
ENR-026,STU-024,CRS-002,CEN-003,2026-03-31,2026-04-09,2026-08-27,2026-04-28,dropped_out,25000.00,2_installments,"John Doe"
ENR-027,STU-018,CRS-001,CEN-002,2026-06-20,2026-07-02,2026-12-17,2026-08-04,completed,117000.00,3_installments,"Jane Smith"
ENR-028,STU-029,CRS-002,CEN-001,2026-02-05,2026-02-13,2026-07-03,NULL,active,76000.00,monthly,"Mary Johnson"
ENR-029,STU-011,CRS-001,CEN-002,2025-10-20,2025-11-02,2026-04-19,2025-11-21,dropped_out,34000.00,monthly,"Peter Adeleke"
ENR-030,STU-020,CRS-001,CEN-001,2026-03-12,2026-03-20,2026-09-04,NULL,active,115000.00,3_installments,"Blessing Osei"
ENR-031,STU-018,CRS-002,CEN-003,2025-07-18,2025-07-27,2025-12-14,2025-08-29,dropped_out,34000.00,2_installments,"John Doe"
ENR-032,STU-017,CRS-003,CEN-001,2026-03-11,2026-03-24,2026-07-14,2026-05-12,dropped_out,30000.00,3_installments,"Jane Smith"
ENR-033,STU-022,CRS-001,CEN-002,2025-10-17,2025-10-26,2026-04-12,2026-04-12,completed,78000.00,3_installments,"Mary Johnson"
ENR-034,STU-009,CRS-001,CEN-002,2026-06-26,2026-07-03,2026-12-18,NULL,active,122000.00,3_installments,"Peter Adeleke"
ENR-035,STU-027,CRS-001,CEN-002,2026-06-25,2026-07-08,2026-12-23,2026-08-02,suspended,104000.00,monthly,"Blessing Osei"
