payment_id,enrollment_id,installment_number,amount_due,due_date,amount_paid,payment_date,payment_status
1,ENR-001,1,175000.00,2026-01-20,184108.42,2026-01-20,paid
2,ENR-001,2,175000.00,2026-03-06,175000.00,2026-03-06,paid
3,ENR-002,1,80000.00,2026-01-25,80000.00,2026-01-25,paid
4,ENR-002,2,160000.00,2026-02-24,160000.00,2026-02-24,paid
5,ENR-002,3,160000.00,2026-03-26,160000.00,2026-03-26,paid
6,ENR-003,1,50000.00,2026-02-10,50000.00,2026-02-10,paid
7,ENR-003,2,150000.00,2026-03-12,150000.00,2026-03-12,paid
8,ENR-003,3,150000.00,2026-04-11,0.00,NULL,defaulted
9,ENR-004,1,125000.00,2026-02-15,125000.00,2026-02-20,paid_late
10,ENR-004,2,125000.00,2026-04-01,125000.00,2026-04-01,paid
11,ENR-005,1,150000.00,2026-02-20,150000.00,2026-02-20,paid
12,ENR-005,2,150000.00,2026-04-06,150000.00,2026-04-06,paid
13,ENR-006,1,156000.00,2026-03-10,156000.00,2026-03-11,paid_late
14,ENR-006,2,194000.00,2026-04-24,194000.00,2026-04-24,paid
15,ENR-007,1,63000.00,2026-03-17,63000.00,2026-03-21,paid_late
16,ENR-007,2,57400.00,2026-04-16,57400.00,2026-04-19,paid_late
17,ENR-007,3,57400.00,2026-05-16,57400.00,2026-05-16,paid
18,ENR-007,4,57400.00,2026-06-15,57400.00,2026-06-15,paid
19,ENR-007,5,57400.00,2026-07-15,57400.00,2026-07-15,paid
20,ENR-007,6,57400.00,2026-08-14,0.00,NULL,pending
21,ENR-008,1,106000.00,2026-04-01,106000.00,2026-04-01,paid
22,ENR-008,2,73500.00,2026-05-01,73500.00,2026-05-01,paid
23,ENR-008,3,73500.00,2026-05-31,73500.00,2026-05-31,paid
24,ENR-008,4,73500.00,2026-06-30,73500.00,NULL,paid_late
25,ENR-008,5,73500.00,2026-07-30,73500.00,2026-07-30,paid
26,ENR-009,1,228000.00,2025-12-07,228000.00,NULL,paid_late
27,ENR-009,2,172000.00,2026-01-21,172000.00,2026-01-21,paid
28,ENR-010,1,74000.00,2026-07-01,74000.00,2026-07-01,paid
29,ENR-010,2,88000.00,2026-07-31,0.00,NULL,defaulted
30,ENR-010,3,88000.00,2026-08-30,0.00,NULL,defaulted
31,ENR-011,1,84000.00,2025-12-05,84000.00,2025-12-05,paid
32,ENR-011,2,79000.00,2026-01-04,79000.00,2026-01-04,paid
33,ENR-011,3,79000.00,2026-02-03,79000.00,2026-02-03,paid
34,ENR-011,4,79000.00,2026-03-05,79000.00,2026-03-05,paid
35,ENR-011,5,79000.00,2026-04-04,79000.00,2026-04-04,paid
36,ENR-012,1,203000.00,2025-08-19,203000.00,2025-08-19,paid
37,ENR-012,2,147000.00,2025-10-03,147000.00,2025-10-03,paid
38,ENR-013,1,229000.00,2025-07-28,229000.00,2025-07-28,paid
39,ENR-013,2,171000.00,2025-09-11,171000.00,2025-09-11,paid
40,ENR-014,1,164000.00,2025-11-23,164000.00,2025-11-23,paid
41,ENR-014,2,186000.00,2026-01-07,186000.00,2026-01-07,paid
42,ENR-015,1,173000.00,2026-01-11,173000.00,2026-01-11,paid
43,ENR-015,2,177000.00,2026-02-25,177000.00,2026-02-25,paid
44,ENR-016,1,107000.00,2025-12-05,107000.00,2025-12-05,paid
45,ENR-016,2,96500.00,2026-01-04,96500.00,2026-01-05,paid_late
46,ENR-016,3,96500.00,2026-02-03,96500.00,2026-02-03,paid
47,ENR-017,1,350000.00,2025-10-13,350000.00,2025-10-13,paid
